model_output,original_shape,steered_to_shape,question_id,image_id,top_20_probs,top_20_tokens,match_steered,match_substring_steered
 heart<|im_end|>,heart,square,605001,605,"tensor([0.4697, 0.2027, 0.1161, 0.0819, 0.0160, 0.0137, 0.0114, 0.0105, 0.0068,
        0.0050, 0.0039, 0.0037, 0.0033, 0.0026, 0.0023, 0.0022, 0.0022, 0.0017,
        0.0016, 0.0014])","['heart', 'leaf', 'flower', 'round', 'circle', 'triangle', 'star', 'd', 'tree', 'sp', 'square', 'clo', 'oval', 'c', 'rectangle', 'b', 'fl', 'flow', 'le', 'sw']",False,False
 square<|im_end|>,heart,square,61144001,61144,"tensor([7.7422e-01, 4.6251e-02, 4.5348e-02, 4.4181e-02, 4.2614e-02, 7.0032e-03,
        6.5813e-03, 5.7584e-03, 4.3854e-03, 3.2378e-03, 2.8406e-03, 2.3571e-03,
        1.6019e-03, 1.3414e-03, 8.0033e-04, 7.3567e-04, 5.4263e-04, 4.8041e-04,
        4.5662e-04, 3.9349e-04])","['square', 'heart', 'rectangle', 'p', 'circle', 'round', 'triangle', 'd', 'b', 'cube', 'rect', 'Square', 's', 'hex', 'oval', 'star', 'pent', 'he', 'oct', 'box']",False,True
 square<|im_end|>,heart,square,267780003,267780,"tensor([9.3364e-01, 3.8077e-02, 1.0681e-02, 5.3564e-03, 2.9568e-03, 1.8195e-03,
        1.4902e-03, 6.2432e-04, 5.5882e-04, 4.8064e-04, 3.1438e-04, 2.5795e-04,
        2.5708e-04, 1.4615e-04, 1.4520e-04, 1.4243e-04, 1.3320e-04, 1.3254e-04,
        1.0991e-04, 9.5996e-05])","['square', 'rectangle', 'heart', 'circle', 'd', 'round', 'rect', 'Square', 's', 'triangle', 'hex', ' square', 'oval', 'box', '_square', 'he', 'sqrt', '-square', 'shape', 'cube']",False,True
 heart<|im_end|>,heart,square,530321001,530321,"tensor([5.7500e-01, 1.6690e-01, 1.0721e-01, 7.5384e-02, 2.7255e-02, 1.0447e-02,
        5.5659e-03, 5.4842e-03, 3.8878e-03, 3.8185e-03, 3.4545e-03, 2.9774e-03,
        1.1487e-03, 9.7500e-04, 8.0610e-04, 4.9982e-04, 4.3220e-04, 3.7176e-04,
        3.3466e-04, 2.7439e-04])","['heart', 'square', 'rectangle', 'circle', 'triangle', 'd', 'he', 'red', 'hex', 'rect', 'round', 'oval', 's', 'oct', 'star', 'Square', ' heart', 'Heart', 'circ', 'half']",False,False
 square<|im_end|>,heart,square,137970000,137970,"tensor([8.2587e-01, 7.3959e-02, 2.6155e-02, 2.4133e-02, 2.1819e-02, 6.1701e-03,
        2.6129e-03, 2.4957e-03, 1.2592e-03, 1.0269e-03, 9.0283e-04, 7.8495e-04,
        5.1684e-04, 4.1121e-04, 3.9177e-04, 3.4226e-04, 2.8280e-04, 2.7938e-04,
        2.7707e-04, 2.6191e-04])","['square', 's', 'rectangle', 'd', 'heart', 'Square', 'rect', 'triangle', 'he', 'box', 'circle', 'hex', ' squares', 'sqrt', 'check', 'red', 'cube', 'cross', 'star', 'rh']",False,True
 star<|im_end|>,star,square,189469004,189469,"tensor([0.4641, 0.2024, 0.1507, 0.0749, 0.0241, 0.0171, 0.0049, 0.0031, 0.0026,
        0.0025, 0.0019, 0.0019, 0.0017, 0.0015, 0.0015, 0.0014, 0.0013, 0.0013,
        0.0010, 0.0009])","['star', 'd', 'triangle', 'square', 'rectangle', 'cross', 'k', 'arrow', 'st', 'hex', 'stars', 'l', 'circle', 'x', 's', 'p', 'blue', 't', 'pent', 'aster']",False,False
 circle<|im_end|>,circle,square,531855002,531855,"tensor([0.5865, 0.0365, 0.0361, 0.0359, 0.0232, 0.0228, 0.0208, 0.0204, 0.0195,
        0.0179, 0.0131, 0.0124, 0.0106, 0.0091, 0.0079, 0.0059, 0.0056, 0.0034,
        0.0031, 0.0028])","['circle', 'oval', 'rectangle', 'square', 'co', 'c', 'loop', 's', 'round', 'd', 'heart', 'o', 'st', 'l', 'half', 'triangle', 'sem', 'u', 'b', 'circ']",False,False
 triangle<|im_end|>,triangle,square,402384009,402384,"tensor([0.4967, 0.1562, 0.1010, 0.0661, 0.0248, 0.0241, 0.0209, 0.0082, 0.0071,
        0.0068, 0.0064, 0.0058, 0.0052, 0.0050, 0.0046, 0.0039, 0.0038, 0.0016,
        0.0016, 0.0015])","['triangle', 'rectangle', 'square', 'oval', 'circle', 'round', 'd', 'tri', 'v', 'ell', 'line', 'rect', 'heart', 'tr', 'hex', 'o', 'oct', 'c', 'l', 'x']",False,False
 triangle<|im_end|>,triangle,square,9898003,9898,"tensor([0.4994, 0.2126, 0.0809, 0.0624, 0.0331, 0.0290, 0.0186, 0.0079, 0.0064,
        0.0054, 0.0049, 0.0045, 0.0033, 0.0019, 0.0014, 0.0011, 0.0010, 0.0010,
        0.0007, 0.0006])","['triangle', 'square', 'rectangle', 'none', 'circle', 's', 'tri', 'round', 'no', 'oval', 'cross', 'rect', 'tr', 'd', 'boat', '0', 'c', 'long', 'line', 't']",False,False
 triangle<|im_end|>,triangle,square,272132003,272132,"tensor([0.2264, 0.1830, 0.1351, 0.1214, 0.0638, 0.0448, 0.0343, 0.0238, 0.0212,
        0.0178, 0.0150, 0.0110, 0.0096, 0.0094, 0.0041, 0.0033, 0.0029, 0.0022,
        0.0018, 0.0017])","['triangle', 'circle', 'square', 'rectangle', 'd', 'cross', 'round', 'heart', 'stop', 'hex', 'oval', 'oct', 'x', 'star', 't', 'letter', 'l', 'arrow', 'c', 'tr']",False,False
