model_output,original_shape,steered_to_shape,question_id,image_id,top_20_probs,top_20_tokens,match_steered,match_substring_steered
 leaf<|im_end|>,heart,square,605001,605,"tensor([0.3050, 0.2420, 0.1219, 0.1092, 0.0245, 0.0229, 0.0200, 0.0198, 0.0191,
        0.0140, 0.0086, 0.0084, 0.0046, 0.0042, 0.0036, 0.0025, 0.0024, 0.0024,
        0.0021, 0.0020])","['leaf', 'heart', 'flower', 'round', 'triangle', 'circle', 'tree', 'd', 'star', 'square', 'sp', 'rectangle', 'clo', 'oval', 'c', 'fl', 'b', 'sw', 'p', 'flow']",False,False
 heart<|im_end|>,heart,square,61144001,61144,"tensor([9.3998e-01, 1.9224e-02, 1.2339e-02, 1.1851e-02, 3.5990e-03, 2.3465e-03,
        1.9422e-03, 1.6168e-03, 1.3365e-03, 8.2639e-04, 7.1638e-04, 5.3020e-04,
        3.4056e-04, 3.1001e-04, 1.8711e-04, 1.8600e-04, 1.7776e-04, 1.2887e-04,
        1.0939e-04, 1.0358e-04])","['heart', 'p', 'round', 'circle', 'square', 'rectangle', 'b', 'triangle', 'he', 'hex', 'oval', ' heart', 'Heart', 'rect', 'star', 'c', 'd', 'circ', 'oct', 'rounded']",False,False
 heart<|im_end|>,heart,square,267780003,267780,"tensor([9.9879e-01, 2.8505e-04, 2.1664e-04, 1.3038e-04, 1.2743e-04, 7.1719e-05,
        6.9705e-05, 5.7592e-05, 4.7427e-05, 2.6199e-05, 1.4577e-05, 1.0321e-05,
        9.4438e-06, 9.2795e-06, 8.3506e-06, 6.7037e-06, 5.9887e-06, 5.3250e-06,
        4.4663e-06, 3.7656e-06])","['heart', 'he', 'circle', ' heart', 'round', 'Heart', 'rectangle', 'triangle', 'square', 'oval', 'hex', '心', 'd', 'shape', 'pe', 'p', '-heart', 'heat', 'rect', 'c']",False,False
 heart<|im_end|>,heart,square,530321001,530321,"tensor([9.8677e-01, 5.6682e-03, 2.2191e-03, 1.1209e-03, 9.8979e-04, 5.1124e-04,
        3.7152e-04, 2.9682e-04, 2.8312e-04, 2.7505e-04, 1.9175e-04, 1.7073e-04,
        1.6309e-04, 5.3858e-05, 4.7772e-05, 3.6868e-05, 3.2241e-05, 2.5710e-05,
        2.3307e-05, 2.1881e-05])","['heart', 'circle', 'he', 'triangle', 'rectangle', 'red', 'round', ' heart', 'hex', 'oval', 'square', 'Heart', 'd', ' hearts', 'circ', 'star', 'rect', 'oct', 'p', 'dog']",False,False
 heart<|im_end|>,heart,square,137970000,137970,"tensor([9.0869e-01, 3.3077e-02, 1.8537e-02, 8.0198e-03, 6.2948e-03, 5.4315e-03,
        4.0293e-03, 2.9990e-03, 2.5140e-03, 1.0798e-03, 9.8534e-04, 6.9818e-04,
        6.4239e-04, 5.8524e-04, 4.6702e-04, 3.5807e-04, 3.2878e-04, 2.6939e-04,
        2.4977e-04, 1.5047e-04])","['heart', 'he', 'square', 'Heart', 'triangle', 'rectangle', 'hex', 'd', 'circle', ' heart', ' hearts', 'He', 'Square', 'round', 'rect', 'tri', 's', 'star', ' Hearts', 'red']",False,False
 star<|im_end|>,star,square,189469004,189469,"tensor([9.8245e-01, 5.3338e-03, 2.2175e-03, 1.0880e-03, 1.0264e-03, 5.7665e-04,
        5.3033e-04, 4.7942e-04, 3.8414e-04, 3.4280e-04, 2.9900e-04, 2.8602e-04,
        2.8400e-04, 2.2567e-04, 2.1629e-04, 2.1110e-04, 1.7713e-04, 1.7635e-04,
        1.1435e-04, 7.1562e-05])","['star', 'triangle', 'd', 'cross', 'stars', 'square', 'circle', 'st', ' star', 'blue', '星', 'aster', 'rectangle', 'arrow', 'Star', 'p', 'pent', 'hex', 'round', 'heart']",False,False
 circle<|im_end|>,circle,square,531855002,531855,"tensor([0.7396, 0.0373, 0.0336, 0.0206, 0.0156, 0.0133, 0.0126, 0.0119, 0.0101,
        0.0087, 0.0086, 0.0053, 0.0042, 0.0033, 0.0031, 0.0030, 0.0028, 0.0026,
        0.0021, 0.0017])","['circle', 'oval', 'co', 'loop', 'round', 'd', 'c', 'heart', 'o', 'rectangle', 's', 'square', 'half', 'circ', 'ring', 'sem', 'st', 'l', 'triangle', 'lo']",False,False
 triangle<|im_end|>,triangle,square,402384009,402384,"tensor([0.5140, 0.1417, 0.0940, 0.0663, 0.0254, 0.0252, 0.0218, 0.0087, 0.0075,
        0.0069, 0.0063, 0.0057, 0.0055, 0.0050, 0.0046, 0.0037, 0.0037, 0.0017,
        0.0015, 0.0014])","['triangle', 'rectangle', 'square', 'oval', 'round', 'circle', 'd', 'tri', 'v', 'ell', 'line', 'heart', 'rect', 'tr', 'hex', 'o', 'oct', 'c', 'l', 'cross']",False,False
 triangle<|im_end|>,triangle,square,9898003,9898,"tensor([0.5047, 0.2031, 0.0770, 0.0649, 0.0381, 0.0268, 0.0185, 0.0091, 0.0065,
        0.0059, 0.0058, 0.0041, 0.0033, 0.0019, 0.0016, 0.0011, 0.0011, 0.0009,
        0.0007, 0.0006])","['triangle', 'square', 'rectangle', 'none', 'circle', 's', 'tri', 'round', 'no', 'oval', 'cross', 'rect', 'tr', 'd', 'boat', '0', 'c', 'long', 'line', 't']",False,False
 triangle<|im_end|>,triangle,square,272132003,272132,"tensor([0.5802, 0.1249, 0.0463, 0.0326, 0.0265, 0.0249, 0.0248, 0.0190, 0.0104,
        0.0094, 0.0078, 0.0076, 0.0058, 0.0046, 0.0046, 0.0039, 0.0026, 0.0026,
        0.0026, 0.0021])","['triangle', 'circle', 'd', 'square', 'rectangle', 'cross', 'round', 'heart', 'star', 'stop', 'hex', 'x', 'oval', 'v', 'oct', 'arrow', 'letter', 'tr', 'tri', 'a']",False,False
 circle<|im_end|>,circle,square,534468017,534468,"tensor([0.3822, 0.0679, 0.0437, 0.0350, 0.0349, 0.0273, 0.0246, 0.0242, 0.0233,
        0.0218, 0.0164, 0.0149, 0.0135, 0.0116, 0.0108, 0.0099, 0.0095, 0.0072,
        0.0069, 0.0059])","['circle', 'square', 'rectangle', 'str', 's', 'co', 'loop', 'round', 'c', 'oval', 'zig', 'line', 'd', 'k', 't', 'triangle', 'none', 'heart', 'b', 'l']",False,False
 heart<|im_end|>,heart,square,404165007,404165,"tensor([9.9655e-01, 8.5774e-04, 3.9489e-04, 3.6274e-04, 3.1952e-04, 1.9512e-04,
        1.8233e-04, 1.6357e-04, 1.5980e-04, 1.5109e-04, 7.6734e-05, 2.3835e-05,
        2.2753e-05, 2.1177e-05, 1.6873e-05, 1.5410e-05, 1.3306e-05, 1.2682e-05,
        1.1448e-05, 9.5600e-06])","['heart', 'he', 'triangle', 'rectangle', ' heart', 'Heart', 'star', 'square', 'circle', 'hex', 'd', 'oval', 'white', '心', 'p', 'round', 'love', '-heart', 'shape', 'st']",False,False
 star<|im_end|>,star,square,11076002,11076,"tensor([9.0370e-01, 8.4760e-02, 1.9791e-03, 1.0933e-03, 8.1392e-04, 7.7982e-04,
        7.0913e-04, 5.6628e-04, 5.3826e-04, 3.7179e-04, 3.2862e-04, 2.6259e-04,
        2.1408e-04, 1.6353e-04, 1.6279e-04, 1.1700e-04, 1.1650e-04, 1.1594e-04,
        9.7318e-05, 8.2835e-05])","['star', 'stars', 'triangle', 'circle', 'Star', 'st', 'square', '星', ' star', 'round', 'd', 'rectangle', 'heart', 'aster', ' stars', 'arrow', 'p', 'cross', 'pent', 'tri']",False,False
