model_output,original_shape,steered_to_shape,question_id,image_id,top_20_probs,top_20_tokens,match_steered,match_substring_steered
Heart<|im_end|>,heart,square,605001,605,"tensor([0.3939, 0.2108, 0.2108, 0.0776, 0.0237, 0.0163, 0.0068, 0.0056, 0.0053,
        0.0047, 0.0027, 0.0018, 0.0014, 0.0014, 0.0014, 0.0011, 0.0010, 0.0007,
        0.0007, 0.0006])","['Heart', 'flower', 'heart', 'Fl', 'Square', 'Star', 'fl', 'leaf', 'Sw', 'Leaf', 'star', 'diamond', 'D', 'C', 'Diamond', ' Heart', 'S', 'Cross', 'd', 'He']",False,False
Square<|im_end|>,heart,square,61144001,61144,"tensor([0.3808, 0.2038, 0.1236, 0.0455, 0.0354, 0.0294, 0.0259, 0.0167, 0.0122,
        0.0122, 0.0115, 0.0090, 0.0079, 0.0079, 0.0074, 0.0058, 0.0040, 0.0037,
        0.0035, 0.0035])","['Square', 'Bear', 'Heart', 'Round', 'Cube', 'P', 'C', 'bear', 'heart', 'Rect', 'square', 'Rectangle', 'B', 'Pink', 'round', 'cube', 'Circular', 'S', 'rect', 'T']",False,True
Square<|im_end|>,heart,square,267780003,267780,"tensor([6.1116e-01, 3.2713e-01, 2.6852e-02, 2.6852e-02, 2.8302e-03, 9.1884e-04,
        6.7223e-04, 4.0773e-04, 3.1754e-04, 2.4730e-04, 2.1824e-04, 1.3237e-04,
        1.1682e-04, 1.0974e-04, 8.5465e-05, 7.5423e-05, 6.6560e-05, 6.6560e-05,
        6.2528e-05, 5.8739e-05])","['Square', 'Heart', 'heart', 'square', 'Rectangle', 'rectangle', 'Rect', 'Squared', 'Triangle', 'rect', 'Star', 'S', 'He', ' Heart', 'H', ' Square', 'P', 'Cube', 'C', '_square']",False,True
Square<|im_end|>,heart,square,530321001,530321,"tensor([7.1101e-01, 2.0371e-01, 1.4757e-02, 1.1492e-02, 1.0142e-02, 5.0997e-03,
        5.0997e-03, 5.0997e-03, 4.5005e-03, 3.0932e-03, 2.4089e-03, 2.2630e-03,
        1.6556e-03, 1.6556e-03, 1.2113e-03, 1.2113e-03, 1.1379e-03, 9.4336e-04,
        5.7218e-04, 5.3751e-04])","['Square', 'square', 'Heart', 'heart', 'S', 'circle', 'Rectangle', 'Circle', 's', 'Red', 'rectangle', 'Rect', 'red', 'rect', 'C', 'Cube', 'Triangle', 'Squared', 'sq', ' Square']",False,True
square<|im_end|>,heart,square,137970000,137970,"tensor([5.7922e-01, 3.9809e-01, 8.2621e-03, 5.0112e-03, 3.0395e-03, 1.8435e-03,
        8.7082e-04, 7.6850e-04, 5.9851e-04, 3.6301e-04, 2.4950e-04, 2.3438e-04,
        2.2018e-04, 1.7148e-04, 1.1071e-04, 9.1784e-05, 8.6223e-05, 8.0999e-05,
        6.7151e-05, 4.6152e-05])","['square', 'Square', 'rectangle', 'Rectangle', 's', 'S', 'rect', 'Rect', 'Box', 'squ', 'Cube', 'quare', ' Square', 'box', 'sq', '_square', 'Diamond', 'cube', 'Squared', 'C']",False,True
Square<|im_end|>,star,square,189469004,189469,"tensor([7.1622e-01, 1.5981e-01, 4.0406e-02, 3.1469e-02, 1.3118e-02, 9.0159e-03,
        5.1371e-03, 4.5335e-03, 1.3826e-03, 1.3826e-03, 1.1462e-03, 1.0768e-03,
        8.9270e-04, 7.4007e-04, 5.4145e-04, 4.7783e-04, 4.4888e-04, 3.9613e-04,
        3.4958e-04, 3.4958e-04])","['Square', 'Star', 'Cube', 'square', 'cube', 'Box', 'star', 'Sun', 'Diamond', 'Block', 'Cross', 'S', 'Rectangle', 'diamond', 'sun', 'C', 'box', 'Logo', 'Qu', 'T']",False,True
loop<|im_end|>,circle,square,531855002,531855,"tensor([0.3333, 0.3333, 0.0744, 0.0656, 0.0291, 0.0166, 0.0138, 0.0121, 0.0089,
        0.0089, 0.0083, 0.0078, 0.0069, 0.0039, 0.0039, 0.0035, 0.0033, 0.0027,
        0.0025, 0.0025])","['loop', 'circle', 'arc', 'U', 'S', 's', 'Circle', 'oval', 'Loop', 'c', 'snake', 'C', 'u', 'rectangle', 'hook', 'coil', 'ellipse', 'ring', 'triangle', 'figure']",False,False
triangle<|im_end|>,triangle,square,402384009,402384,"tensor([0.5772, 0.1288, 0.0393, 0.0369, 0.0326, 0.0210, 0.0164, 0.0128, 0.0099,
        0.0073, 0.0068, 0.0044, 0.0041, 0.0039, 0.0037, 0.0028, 0.0027, 0.0025,
        0.0025, 0.0022])","['triangle', 'V', 'paralle', 'rectangle', 'Triangle', 'v', 'diamond', 'C', 'U', 'c', 'tri', 'oval', 'Y', 'tr', 's', 'line', 'Rectangle', 't', 'hex', 'hour']",False,False
triangle<|im_end|>,triangle,square,9898003,9898,"tensor([9.3100e-01, 1.7052e-02, 1.7052e-02, 1.0342e-02, 6.2730e-03, 3.3577e-03,
        2.6150e-03, 1.9132e-03, 8.4896e-04, 8.4896e-04, 7.0381e-04, 5.1492e-04,
        4.0102e-04, 3.3246e-04, 3.3246e-04, 2.9339e-04, 2.9339e-04, 2.2849e-04,
        2.0165e-04, 1.8943e-04])","['triangle', 'Triangle', 's', 'tri', 'tr', 'none', 'rectangle', 'boat', 'None', 'diamond', 'S', ' triangle', 'n', 't', 'square', 'point', 'sp', 'd', '_triangle', 'no']",False,False
triangle<|im_end|>,triangle,square,272132003,272132,"tensor([0.4493, 0.2405, 0.0418, 0.0369, 0.0253, 0.0238, 0.0224, 0.0185, 0.0144,
        0.0120, 0.0077, 0.0057, 0.0047, 0.0034, 0.0034, 0.0030, 0.0027, 0.0024,
        0.0022, 0.0021])","['triangle', 'Triangle', 'diamond', 'V', 'Diamond', 'T', 'rectangle', 'Rectangle', 'paralle', 'Square', 'D', 'X', 'Plus', 'Cross', 'P', 'v', 'In', 'tr', 'Hour', 'cross']",False,False
Square<|im_end|>,heart,square,404165007,404165,"tensor([7.1035e-01, 2.6132e-01, 1.0133e-02, 1.0133e-02, 1.6541e-03, 1.5539e-03,
        6.8953e-04, 3.4672e-04, 1.7434e-04, 1.7434e-04, 1.7434e-04, 1.7434e-04,
        1.5386e-04, 1.4453e-04, 1.4453e-04, 1.3578e-04, 1.1982e-04, 8.7665e-05,
        8.2353e-05, 6.8273e-05])","['Square', 'square', 'rectangle', 'Rectangle', 'Box', 'Cube', 'cube', 'Rect', 'T', 'White', 'S', 'C', 'box', 'rect', ' Square', 'Squared', 'quare', '_square', 'Cross', 'Block']",False,True
diamond<|im_end|>,star,square,11076002,11076,"tensor([0.3092, 0.2125, 0.1138, 0.0782, 0.0782, 0.0537, 0.0474, 0.0120, 0.0120,
        0.0099, 0.0088, 0.0034, 0.0028, 0.0024, 0.0022, 0.0021, 0.0021, 0.0020,
        0.0018, 0.0017])","['diamond', 'square', 'Square', 'Diamond', 'triangle', 'Triangle', 'star', 'cube', 'Cube', 'Star', 'rectangle', 'pent', 'arrow', 'squ', 's', 'sp', 'tri', 'Rectangle', 'Heart', 'heart']",False,False
square<|im_end|>,heart,square,12154000,12154,"tensor([0.5541, 0.1587, 0.1236, 0.0276, 0.0215, 0.0190, 0.0157, 0.0148, 0.0079,
        0.0048, 0.0042, 0.0033, 0.0033, 0.0029, 0.0029, 0.0020, 0.0018, 0.0015,
        0.0015, 0.0014])","['square', 'rectangle', 'Square', 'Rectangle', 'heart', 'rect', 'star', 'triangle', 'cube', 'diamond', 'squ', 'Heart', 'circle', 'Star', 's', 'Cube', 'c', 'Rect', 'Triangle', 'cross']",False,True
circle<|im_end|>,circle,square,143845002,143845,"tensor([0.4044, 0.2779, 0.0796, 0.0426, 0.0426, 0.0259, 0.0178, 0.0157, 0.0138,
        0.0122, 0.0089, 0.0089, 0.0061, 0.0031, 0.0027, 0.0026, 0.0016, 0.0015,
        0.0012, 0.0010])","['circle', 'Circle', 'C', 'Diamond', 'circ', 'round', 'Circular', 'Triangle', 'Round', 'c', 'triangle', 'oval', 'hex', 'diamond', 'ircle', 'Hex', ' Circle', 'Tri', 'cone', 'oct']",False,False
Diamond<|im_end|>,triangle,square,214461005,214461,"tensor([0.1483, 0.1155, 0.0899, 0.0899, 0.0794, 0.0700, 0.0618, 0.0618, 0.0425,
        0.0375, 0.0331, 0.0214, 0.0130, 0.0130, 0.0122, 0.0114, 0.0107, 0.0095,
        0.0089, 0.0079])","['Diamond', 'Circular', 'Circle', 'circle', 'Round', 'Square', 'round', 'oval', 'square', 'Triangle', 'hex', 'triangle', 'diamond', 'oct', 'Hex', 'Oct', 'O', 'Rectangle', 'rectangle', 'C']",False,False
Diamond<|im_end|>,triangle,square,439911003,439911,"tensor([5.6846e-01, 1.8455e-01, 1.2684e-01, 5.9915e-02, 1.9452e-02, 8.1086e-03,
        7.1559e-03, 3.3802e-03, 2.9830e-03, 2.0502e-03, 1.8093e-03, 1.4999e-03,
        1.3237e-03, 1.2435e-03, 1.1682e-03, 5.8739e-04, 4.5746e-04, 4.2974e-04,
        4.0371e-04, 3.3468e-04])","['Diamond', 'Triangle', 'Square', 'diamond', 'triangle', 'square', 'Rectangle', ' Diamond', 'D', 'Tri', 'Delta', 'S', 'rectangle', 'T', 'tri', 'Cube', 'Hex', 'Rect', 'Qu', 'C']",False,False
