model_output,original_shape,steered_to_shape,question_id,image_id,top_20_probs,top_20_tokens,match_steered,match_substring_steered
 heart<|im_end|>,heart,square,605001,605,"tensor([0.6338, 0.1655, 0.0748, 0.0443, 0.0085, 0.0079, 0.0062, 0.0061, 0.0042,
        0.0031, 0.0030, 0.0021, 0.0018, 0.0015, 0.0015, 0.0015, 0.0012, 0.0011,
        0.0010, 0.0010])","['heart', 'leaf', 'flower', 'round', 'circle', 'triangle', 'd', 'star', 'tree', 'sp', 'clo', 'oval', 'c', 'b', 'fl', 'square', 'le', 'flow', 'rectangle', ' heart']",False,False
 heart<|im_end|>,heart,square,61144001,61144,"tensor([7.6635e-01, 1.1638e-01, 3.5099e-02, 2.6119e-02, 1.8198e-02, 9.5184e-03,
        4.9237e-03, 3.9205e-03, 2.8613e-03, 1.8746e-03, 1.6936e-03, 1.5753e-03,
        1.1671e-03, 8.7240e-04, 8.5539e-04, 7.2629e-04, 6.9106e-04, 4.5015e-04,
        3.9712e-04, 2.9450e-04])","['heart', 'square', 'p', 'circle', 'rectangle', 'round', 'triangle', 'b', 'he', 'hex', 'd', 'rect', 'oval', 'Square', 'star', ' heart', 'cube', 'Heart', 's', 'oct']",False,False
 heart<|im_end|>,heart,square,267780003,267780,"tensor([9.9772e-01, 4.8843e-04, 4.4549e-04, 2.5748e-04, 2.1359e-04, 1.7988e-04,
        1.7779e-04, 8.6527e-05, 8.2299e-05, 5.6945e-05, 2.7523e-05, 2.1546e-05,
        1.3083e-05, 1.2677e-05, 1.0611e-05, 9.9339e-06, 7.3612e-06, 7.2993e-06,
        6.9024e-06, 6.0268e-06])","['heart', 'circle', 'he', 'round', 'square', ' heart', 'rectangle', 'triangle', 'Heart', 'oval', 'hex', 'd', '心', 'shape', 'rect', 'pe', 'p', 'heat', '-heart', 'c']",False,False
 heart<|im_end|>,heart,square,530321001,530321,"tensor([9.8942e-01, 3.1844e-03, 2.4570e-03, 1.0494e-03, 7.4621e-04, 5.0499e-04,
        3.2256e-04, 2.6079e-04, 2.2121e-04, 2.1738e-04, 1.8319e-04, 1.7323e-04,
        1.6987e-04, 6.1746e-05, 5.6123e-05, 3.2390e-05, 3.0369e-05, 2.9434e-05,
        2.9114e-05, 2.0000e-05])","['heart', 'circle', 'he', 'triangle', 'rectangle', 'red', ' heart', 'round', 'hex', 'oval', 'd', 'square', 'Heart', ' hearts', 'star', 'circ', 'rect', 'p', 'dog', 'love']",False,False
 heart<|im_end|>,heart,square,137970000,137970,"tensor([9.1568e-01, 4.2568e-02, 1.1366e-02, 7.7324e-03, 4.0873e-03, 3.2729e-03,
        2.5143e-03, 2.3982e-03, 1.2625e-03, 1.0445e-03, 1.0310e-03, 6.3122e-04,
        5.6645e-04, 3.5579e-04, 3.4736e-04, 2.5657e-04, 2.2473e-04, 1.9420e-04,
        1.8639e-04, 1.1767e-04])","['heart', 'he', 'square', 'Heart', 'triangle', 'rectangle', 'd', 'hex', 'circle', ' hearts', ' heart', 'He', 'Square', 'rect', 'round', 's', ' Hearts', 'star', 'tri', 'love']",False,False
 star<|im_end|>,star,square,189469004,189469,"tensor([9.3078e-01, 2.5124e-02, 1.3451e-02, 4.6413e-03, 3.1909e-03, 1.8432e-03,
        1.2261e-03, 1.1700e-03, 1.1690e-03, 9.6312e-04, 8.8861e-04, 7.0071e-04,
        6.7621e-04, 6.6292e-04, 5.5825e-04, 4.9835e-04, 4.3880e-04, 3.4000e-04,
        2.9054e-04, 2.8316e-04])","['star', 'triangle', 'd', 'cross', 'square', 'stars', 'rectangle', 'st', 'arrow', 'blue', 'circle', 'hex', ' star', 'aster', 'p', 'pent', '星', 'k', 'Star', 'l']",False,False
 circle<|im_end|>,circle,square,531855002,531855,"tensor([0.7421, 0.0417, 0.0277, 0.0219, 0.0162, 0.0145, 0.0135, 0.0120, 0.0113,
        0.0088, 0.0066, 0.0039, 0.0036, 0.0034, 0.0032, 0.0024, 0.0024, 0.0021,
        0.0018, 0.0018])","['circle', 'oval', 'co', 'loop', 'round', 'heart', 'd', 'c', 'o', 's', 'rectangle', 'square', 'circ', 'half', 'ring', 'l', 'sem', 'st', 'lo', 'b']",False,False
 triangle<|im_end|>,triangle,square,402384009,402384,"tensor([0.6110, 0.0730, 0.0722, 0.0581, 0.0299, 0.0268, 0.0229, 0.0103, 0.0081,
        0.0069, 0.0064, 0.0056, 0.0049, 0.0043, 0.0033, 0.0033, 0.0031, 0.0018,
        0.0015, 0.0011])","['triangle', 'oval', 'rectangle', 'square', 'round', 'circle', 'd', 'tri', 'heart', 'v', 'ell', 'tr', 'line', 'hex', 'rect', 'o', 'oct', 'c', 'star', 's']",False,False
 triangle<|im_end|>,triangle,square,9898003,9898,"tensor([7.0530e-01, 8.4153e-02, 5.5453e-02, 2.9013e-02, 2.6609e-02, 2.3817e-02,
        2.1526e-02, 7.1119e-03, 5.1678e-03, 4.3039e-03, 4.0445e-03, 2.5106e-03,
        2.3364e-03, 2.2210e-03, 1.8314e-03, 8.3357e-04, 8.1602e-04, 8.1207e-04,
        7.0259e-04, 6.7367e-04])","['triangle', 'square', 'none', 'rectangle', 'tri', 's', 'circle', 'round', 'no', 'tr', 'oval', 'cross', 'rect', 'boat', 'd', '0', 'long', 'c', 'cone', 't']",False,False
 triangle<|im_end|>,triangle,square,272132003,272132,"tensor([0.7909, 0.0722, 0.0242, 0.0151, 0.0132, 0.0125, 0.0053, 0.0047, 0.0038,
        0.0034, 0.0031, 0.0024, 0.0022, 0.0022, 0.0020, 0.0018, 0.0015, 0.0015,
        0.0014, 0.0014])","['triangle', 'circle', 'd', 'round', 'v', 'heart', 'square', 'arrow', 'cross', 'rectangle', 'star', 'tri', 'oval', 'tr', 'V', 'hex', 'a', 'cone', 'stop', 'y']",False,False
