model_output,original_shape,steered_to_shape,question_id,image_id,top_20_probs,top_20_tokens,match_steered,match_substring_steered
flower<|im_end|>,heart,square,605001,605,"tensor([0.3466, 0.1275, 0.1125, 0.0993, 0.0532, 0.0236, 0.0196, 0.0184, 0.0152,
        0.0119, 0.0105, 0.0105, 0.0082, 0.0053, 0.0053, 0.0049, 0.0044, 0.0039,
        0.0036, 0.0034])","['flower', 'Square', 'Fl', 'Heart', 'heart', 'Sw', 'leaf', 'fl', 'Leaf', 'diamond', 'Star', 'rectangle', 'Rectangle', 'C', 'Diamond', 'Cross', 'D', 'square', 'S', 'st']",False,False
Square<|im_end|>,heart,square,61144001,61144,"tensor([0.3275, 0.2551, 0.0645, 0.0502, 0.0502, 0.0443, 0.0324, 0.0174, 0.0135,
        0.0112, 0.0112, 0.0099, 0.0093, 0.0082, 0.0077, 0.0064, 0.0056, 0.0053,
        0.0053, 0.0041])","['Square', 'Bear', 'Round', 'Cube', 'C', 'Heart', 'P', 'bear', 'Rect', 'Rectangle', 'B', 'square', 'round', 'cube', 'Pink', 'S', 'T', 'Circular', 'Ted', 'R']",False,True
Square<|im_end|>,heart,square,267780003,267780,"tensor([9.0938e-01, 5.1303e-02, 2.4234e-02, 7.8676e-03, 2.5542e-03, 6.4582e-04,
        6.4582e-04, 4.4386e-04, 4.4386e-04, 3.6797e-04, 1.8503e-04, 1.7382e-04,
        1.0543e-04, 9.3038e-05, 6.8068e-05, 6.8068e-05, 5.3012e-05, 5.3012e-05,
        3.8784e-05, 3.8784e-05])","['Square', 'square', 'Rectangle', 'rectangle', 'Rect', 'Heart', 'rect', 'Squared', 'Triangle', 'S', ' Square', 'Cube', 'Box', '_square', 'C', 'T', 'Hex', 'squ', 'Diamond', 'heart']",False,True
Square<|im_end|>,heart,square,530321001,530321,"tensor([0.6388, 0.2663, 0.0170, 0.0133, 0.0103, 0.0103, 0.0080, 0.0063, 0.0036,
        0.0028, 0.0020, 0.0019, 0.0012, 0.0012, 0.0010, 0.0008, 0.0007, 0.0007,
        0.0007, 0.0007])","['Square', 'square', 'S', 'circle', 'Circle', 'Rectangle', 'rectangle', 's', 'Rect', 'rect', 'Triangle', 'C', 'D', 'Cube', 'Red', 'oval', 'red', 'squ', 'Squared', 'Round']",False,True
square<|im_end|>,heart,square,137970000,137970,"tensor([7.3467e-01, 2.3851e-01, 1.1875e-02, 5.6092e-03, 3.8552e-03, 1.6071e-03,
        1.1045e-03, 5.2174e-04, 5.2174e-04, 5.2174e-04, 1.6938e-04, 1.6938e-04,
        1.3192e-04, 1.0936e-04, 8.0012e-05, 7.5164e-05, 6.2313e-05, 5.4991e-05,
        2.9435e-05, 2.4402e-05])","['square', 'Square', 'rectangle', 's', 'Rectangle', 'S', 'rect', 'squ', 'Box', 'Rect', 'quare', ' Square', 'box', 'sq', 'Cube', '_square', '.square', 'cube', 'Squared', ' square']",False,True
Square<|im_end|>,star,square,189469004,189469,"tensor([7.0927e-01, 1.0877e-01, 8.4710e-02, 3.5312e-02, 1.8901e-02, 1.0117e-02,
        6.1364e-03, 4.4895e-03, 3.0856e-03, 1.8715e-03, 1.2083e-03, 1.0017e-03,
        9.4104e-04, 8.3047e-04, 7.8015e-04, 5.0370e-04, 5.0370e-04, 3.6852e-04,
        3.6852e-04, 3.0551e-04])","['Square', 'Box', 'square', 'Cube', 'Block', 'cube', 'box', 'Rectangle', 'S', 'rectangle', 'Rect', 'C', 'Sun', 's', 'Building', 'squ', 'block', 'House', 'Air', 'rect']",False,True
circle<|im_end|>,circle,square,531855002,531855,"tensor([0.4162, 0.3242, 0.0563, 0.0412, 0.0221, 0.0183, 0.0126, 0.0111, 0.0098,
        0.0092, 0.0076, 0.0056, 0.0038, 0.0036, 0.0030, 0.0028, 0.0023, 0.0018,
        0.0017, 0.0017])","['circle', 'loop', 'arc', 'U', 'S', 'Circle', 'oval', 's', 'c', 'Loop', 'C', 'snake', 'u', 'coil', 'ring', 'ellipse', 'hook', 'figure', 'rectangle', 'O']",False,False
triangle<|im_end|>,triangle,square,402384009,402384,"tensor([0.6035, 0.1347, 0.0340, 0.0340, 0.0282, 0.0194, 0.0151, 0.0111, 0.0092,
        0.0071, 0.0063, 0.0038, 0.0036, 0.0036, 0.0030, 0.0025, 0.0023, 0.0023,
        0.0023, 0.0019])","['triangle', 'V', 'paralle', 'Triangle', 'rectangle', 'v', 'diamond', 'C', 'U', 'tri', 'c', 'oval', 'tr', 'Y', 's', 'line', 'hex', 'arrow', 't', 'Rectangle']",False,False
triangle<|im_end|>,triangle,square,9898003,9898,"tensor([9.4909e-01, 1.5341e-02, 9.3045e-03, 9.3045e-03, 5.6435e-03, 2.0761e-03,
        1.1829e-03, 8.1302e-04, 5.5878e-04, 5.2493e-04, 4.3518e-04, 4.0881e-04,
        2.8097e-04, 2.8097e-04, 2.6395e-04, 2.6395e-04, 1.8141e-04, 1.8141e-04,
        1.2468e-04, 1.1713e-04])","['triangle', 'Triangle', 's', 'tri', 'tr', 'none', 'boat', 'rectangle', 'diamond', 'None', ' triangle', 'S', 'point', 'n', 't', 'sp', '_triangle', 'd', 'T', 'v']",False,False
triangle<|im_end|>,triangle,square,272132003,272132,"tensor([0.6111, 0.2547, 0.0304, 0.0163, 0.0119, 0.0082, 0.0050, 0.0030, 0.0030,
        0.0025, 0.0023, 0.0023, 0.0019, 0.0014, 0.0014, 0.0013, 0.0013, 0.0011,
        0.0011, 0.0011])","['triangle', 'Triangle', 'V', 'diamond', 'Diamond', 'T', 'paralle', 'rectangle', 'D', 'Rectangle', 'X', 'v', 'P', 'Plus', 'Square', 'In', 'tri', 'tr', 'Delta', 'Hour']",False,False
